Content,Platform,Type,Examples + Explanation
Hide password,Global,Forms & Input,Toggle secure input back to hidden. Use eye-slash icon. Privacy protection.
Forgot password?,Global,Forms & Input,Password recovery link. Place below password field. Question mark adds approachability.
Reset password,Global,Authentication,Password recovery action. Use in password reset flows. Clear and direct.
Change password,Global,Account Management,Update existing password. Use in security settings. Different from 'Reset'.
Full name,Global,Forms & Input,Form field for complete name. Better than separate first/last for international users.
First name,Global,Forms & Input,Form field. Use only when you specifically need separate name parts.
Last name,Global,Forms & Input,Form field. Use only when you specifically need separate name parts.
Phone number,Global,Forms & Input,Form field. Use appropriate input type (tel). Specify format if needed.
Date of birth,Global,Forms & Input,Form field. Use date picker. Explain why you need it (age verification, etc).
Address,Global,Forms & Input,Location form field. Consider using address autocomplete. Reduce input friction.
City,Global,Forms & Input,Location form field. Part of address collection. Clear and standard.
State,Global,Forms & Input,Location form field (US). Use 'Province' or 'Region' for international. Consider dropdown.
Zip code,Global,Forms & Input,Postal code field (US). Use 'Postal code' for international. Use numeric input.
Country,Global,Forms & Input,Location form field. Use dropdown with search. Consider auto-detection.
Select,Global,Selection & Display,Dropdown or picker action. Use when choosing from predefined options.
Choose,Global,Selection & Display,Alternative to 'Select'. More casual. Use in onboarding and preference flows.
Pick,Global,Selection & Display,Informal selection action. Use in casual contexts. Example: 'Pick a color'.
All,Global,Selection & Display,Select all items. Use in multi-select interfaces. Pair with 'None' for deselection.
None,Global,Selection & Display,Deselect all items. Use in multi-select interfaces. Clear reset action.
View All,Global,Selection & Display,See complete list or collection. Use when showing preview/subset. Expands content.
See More,Global,Selection & Display,Expand truncated content. Use in feeds and descriptions. Indicates additional content.
See Less,Global,Selection & Display,Collapse expanded content. Pair with 'See More'. Returns to preview state.
Show More,Global,Selection & Display,Alternative to 'See More'. Reveals additional content or options.
Show Less,Global,Selection & Display,Alternative to 'See Less'. Hides additional content or options.
Next,Global,Navigation & Flow,Progress to next step or item. Use in multi-step flows and carousels.
Previous,Global,Navigation & Flow,Return to prior step or item. Use in multi-step flows and carousels.
Back,iOS,Navigation & Flow,Navigate to previous screen. iOS convention with back arrow. Simple and universal.
Back,Android,Navigation & Flow,Navigate to previous screen. Material back button. Simple and universal.
Back,Web,Navigation & Flow,Navigate to previous screen. Browser back or custom navigation. Simple and universal.
Home,Global,Navigation & Flow,Return to main screen. Use in navigation. Universal home concept.
Menu,Global,Navigation & Flow,Open navigation drawer or menu. Use hamburger icon. Standard pattern.
More,iOS,Navigation & Flow,Additional options or actions. Three-dot menu (•••). Reveals secondary actions.
More,Android,Navigation & Flow,Additional options or actions. Three-dot menu (⋮). Reveals secondary actions.
More,Web,Navigation & Flow,Additional options or actions. Three-dot menu (•••). Reveals secondary actions.
Feedback,Global,Help & Support,User input or bug reporting. Use in settings or help. Shows you value input.
Rate us,iOS,Social & Community,App store rating request. Use after positive interactions. Builds app credibility.
Rate us,Android,Social & Community,App store rating request. Use after positive interactions. Builds app credibility.
Invite friends,Global,Social & Community,Referral or sharing action. Use in social features. Encourages growth.
Log out,Global,Account Management,End session. Use in settings. Clear and expected action for account exit.
Sign out,Global,Account Management,Alternative to 'Log out'. Matches 'Sign in' for consistency. Preferred in modern apps.
Disconnect,Global,Account Management,End connection to service or account. Use for third-party integrations.
Connect,Global,Account Management,Link to external service or account. Use for integrations and social connections.
Link account,Global,Account Management,Connect existing account. Use in integration flows. Clear association action.
Unlink account,Global,Account Management,Disconnect associated account. Confirm before executing. Reversible action.
Enable,Global,Settings & Toggles,Turn on feature or setting. Binary state. Pair with 'Disable' for clarity.
Disable,Global,Settings & Toggles,Turn off feature or setting. Binary state. Clear opposite of 'Enable'.
Turn on,Global,Settings & Toggles,Activate feature. More conversational than 'Enable'. Use for user-facing features.
Turn off,Global,Settings & Toggles,Deactivate feature. More conversational than 'Disable'. Use for user-facing features.
On,Global,Settings & Toggles,Toggle state indicator. Simple binary state. Use in switch controls.
Off,Global,Settings & Toggles,Toggle state indicator. Simple binary state. Use in switch controls.
Active,Global,Status & State,Status indicator for enabled state. Use for subscriptions, features, accounts.
Inactive,Global,Status & State,Status indicator for disabled state. Neutral term without negative connotation.
Available,Global,Status & State,Status for ready/accessible items. Use in inventory, scheduling, feature availability.
Unavailable,Global,Status & State,Status for inaccessible items. Explain why when possible. Suggest alternatives.
Online,Global,Status & State,Connection or user status. Real-time indicator. Use in messaging and collaboration.
Offline,Global,Status & State,Disconnected status. Provide offline capabilities when possible. Clear status.
Draft,Global,Status & State,Unsent or unpublished status. Indicates work in progress. Use in content creation.
Published,Global,Status & State,Live content status. Opposite of 'Draft'. Indicates public visibility.
Pending,Global,Status & State,Awaiting action or approval. Temporary state. Provide expected timeline.
Approved,Global,Status & State,Positive status for accepted items. Use in review workflows. Clear resolution.
Declined,Global,Status & State,Rejected status. Neutral term without blame. Explain reason when possible.
Completed,Global,Status & State,Finished status. Positive completion. Use for tasks, orders, processes.
In progress,Global,Status & State,Ongoing status. Indicates active work. Provide progress indicators when possible.
Expired,Global,Status & State,Time-limited item past deadline. Use for trials, offers, sessions. Clear finality.
Canceled,Global,Status & State,User-terminated status. Neutral without blame. Use for orders, subscriptions, bookings.
Scheduled,Global,Status & State,Future-planned status. Shows date/time. Use for posts, payments, events.
Today,Global,Time & Date,Time reference for current day. Use in calendars and date filters. Immediate recognition.
Yesterday,Global,Time & Date,Time reference for prior day. Use in activity feeds and history. Clear temporal marker.
Tomorrow,Global,Time & Date,Time reference for next day. Use in scheduling and reminders. Future indicator.
Now,Global,Time & Date,Immediate time reference. Use for real-time actions. Sense of urgency and immediacy.
Later,Global,Time & Date,Deferred time option. Use in snooze and reminder features. Casual and flexible.
Recent,Global,Time & Date,Time-based filter for latest items. Use in lists and search. Shows freshness.
All time,Global,Time & Date,Complete history filter. Shows everything regardless of date. Comprehensive view.
Custom,Global,Options & Choices,User-defined option. Use when predefined options don't cover needs. Flexibility.
Default,Global,Options & Choices,Standard or original setting. Reset option. Clear baseline reference.
Recommended,Global,Options & Choices,Suggested option or setting. Guides user choice. Helpful without forcing.
Popular,Global,Options & Choices,Frequently chosen option. Social proof. Use in selection interfaces.
New,Global,Labels & Badges,Recently added content or feature. Draws attention. Time-limited indicator.
Updated,Global,Labels & Badges,Recently modified content. Shows freshness. Use in change logs and content lists.
Free,Global,Pricing & Tiers,No-cost option or tier. Emphasizes value. Use in pricing and feature labels.
Premium,Global,Pricing & Tiers,Paid tier or locked feature. Aspirational term. Use in upgrade prompts.
Pro,Global,Pricing & Tiers,Advanced tier designation. Professional connotation. Use in tiered offerings.
Basic,Global,Pricing & Tiers,Entry-level tier. Neutral descriptor without negative connotation.
Plus,Global,Pricing & Tiers,Mid-tier option. Indicates extra features. Common tier naming convention.
